2017-01-23 12:38:36 Source:GridElement | Add object to coffeetree failure:  Object is NOT contained by element x=-5632.0, y=-8192.0 Object ID:2935512 | SEV: INFO
2017-01-23 12:38:36 Source:GridElement | coords: x[-5579.7], y[-11361.1], planet[terrain/rori.trn] | SEV: INFO
2017-01-23 12:38:36 Source:GridElement | Item type: object/static/particle/shared_pt_poi_droid_weld_sparks.iff | SEV: INFO
2017-01-23 12:38:36 Source:GridElement | Add object to coffeetree failure:  Object is NOT contained by element x=4768.0, y=-8192.0 Object ID:1281686 | SEV: INFO
2017-01-23 12:38:36 Source:GridElement | coords: x[4900.24], y[-8452.21], planet[terrain/tatooine.trn] | SEV: INFO
2017-01-23 12:38:36 Source:GridElement | Item type: object/static/structure/tatooine/shared_beam_tatooine_overhead_style_02.iff | SEV: INFO
2017-01-23 12:38:36 Source:GridElement | Add object to coffeetree failure:  Object is NOT contained by element x=4768.0, y=-8192.0 Object ID:1281685 | SEV: INFO
2017-01-23 12:38:36 Source:GridElement | coords: x[4892.56], y[-8461.95], planet[terrain/tatooine.trn] | SEV: INFO
2017-01-23 12:38:36 Source:GridElement | Item type: object/static/structure/tatooine/shared_beam_tatooine_overhead_style_02.iff | SEV: INFO
2017-01-23 12:38:36 Source:GridElement | Add object to coffeetree failure:  Object is NOT contained by element x=4768.0, y=-8192.0 Object ID:1281670 | SEV: INFO
2017-01-23 12:38:36 Source:GridElement | coords: x[4893.63], y[-8461.58], planet[terrain/tatooine.trn] | SEV: INFO
2017-01-23 12:38:36 Source:GridElement | Item type: object/static/structure/tatooine/shared_beam_tatooine_overhead_style_02.iff | SEV: INFO
2017-01-23 12:38:36 Source:GridElement | Add object to coffeetree failure:  Object is NOT contained by element x=4768.0, y=-8192.0 Object ID:1281663 | SEV: INFO
2017-01-23 12:38:36 Source:GridElement | coords: x[4894.01], y[-8461.15], planet[terrain/tatooine.trn] | SEV: INFO
2017-01-23 12:38:36 Source:GridElement | Item type: object/static/structure/tatooine/shared_beam_tatooine_overhead_style_02.iff | SEV: INFO
2017-01-23 12:38:36 Source:DatabaseInterface | End InitializeStaticObjects | SEV: INFO
2017-01-23 12:38:36 Source:ZoneServer() | Player Structures Loaded: 0 | SEV: INFO
2017-01-23 12:38:36 Source:StructureUpdateThread | Structure Update thread Started | SEV: INFO
2017-01-23 12:38:46 Source:DatabaseInterface | Server Terminals Loaded: 2111 | SEV: INFO
2017-01-23 12:38:46 Source:ZoneServer() | Travel Destinations Retrieved:60 | SEV: INFO
2017-01-23 12:38:46 Source:ZoneServer() | Shuttles Loaded: 60 | SEV: INFO
2017-01-23 12:38:46 Source:ZoneServer() | Lair Templates Retrieved: 462 | SEV: INFO
